캐릭터,스킬,항목,변경전,변경후,패치버전
2레벨 인퓨전 - 지진파,,쿨다운,5초,3초,10.6
3레벨 인퓨전 - 산울림,,공격력 감소,7%,10%,10.6
3레벨 인퓨전 - 산울림,,쿨다운,4.5초,2.5초,10.6
3레벨 인퓨전 - 압도적인 힘,,이동 속도 증가,12%,20%,10.6
3레벨 인퓨전 - 함구령,,쿨다운,25초,20초,10.6
레니,권총 사용 시,주는 회복 효과,65%,70%,10.6
레니,,주는 보호막 효과,65%,70%,10.6
미르카,망치 사용 시,입히는 피해량,98%,100%,10.6
바냐,아르카나 사용 시,입히는 피해량,95%,98%,10.6
바바라,권총 사용 시,받는 피해량,100%,102%,10.6
블레어,쌍검 사용 시,입히는 피해량,102%,104%,10.6
샬럿,아르카나 사용 시,주는 회복 효과,65%,70%,10.6
샬럿,,주는 보호막 효과,65%,70%,10.6
실비아,권총 사용 시,입히는 피해량,98%,100%,10.6
실비아,,주는 회복 효과,65%,70%,10.6
아르다,아르카나 사용 시,입히는 피해량,88%,90%,10.6
아르다,,주는 회복 효과,65%,70%,10.6
아비게일,도끼 사용 시,입히는 피해량,98%,95%,10.6
알렉스,모든 무기 사용 시,입히는 피해량,96%,98%,10.6
얀,톤파 사용 시,받는 피해량,86%,88%,10.6
엘레나,레이피어 사용 시,입히는 피해량,107%,105%,10.6
윌리엄,투척 사용 시,입히는 피해량,90%,93%,10.6
유스티나,석궁 사용 시,받는 피해량,94%,92%,10.6
이안,단검 사용 시,입히는 피해량,100%,104%,10.6
카밀로,쌍검 사용 시,입히는 피해량,100%,102%,10.6
카밀로,레이피어 사용 시,입히는 피해량,100%,102%,10.6
카티야,저격총 사용 시,입히는 피해량,84%,86%,10.6
캐시,쌍검 사용 시,입히는 피해량,98%,100%,10.6
칼라,석궁 사용 시,입히는 피해량,98%,100%,10.6
케네스,도끼 사용 시,입히는 피해량,100%,103%,10.6
클로에,암기 사용 시,입히는 피해량,90%,93%,10.6
펠릭스,창 사용 시,입하는 피해량,94%,97%,10.6
피올로,쌍절곤 사용 시,받는 피해량,94%,95%,10.6
피오라,창 사용 시,입히는 피해량,100%,104%,10.6
현우,글러브 사용 시,입히는 피해량,98%,100%,10.6
혜진,암기 사용 시,입히는 피해량,90%,92%,10.6
키오스크,,포스 코어 가격,350 크레딧,300 크레딧,10.6
크레딧,,,1~2일차 자연 크레딧 획득량 1.4초 당 1,1.5초 당 1,10.6
크레딧,,,3일차 이후 자연 크레딧 획득량 1.4초 당 1,1.8초 당 1,10.6
재생성 키트 부활 시간,,,6레벨 4초,6초,10.6
재생성 키트 부활 시간,,,7레벨 5초,8초,10.6
재생성 키트 부활 시간,,,8레벨 10초,12초,10.6
재생성 키트 부활 시간,,,9레벨 12초,15초,10.6
재생성 키트 부활 시간,,,10레벨 이후 15초,16초,10.6
야생 동물,,멧돼지 크레딧 획득량,3,4,10.6
야생 동물,,변이 멧돼지 크레딧 획득량,4,5,10.6
야생 동물,,기본 체력,800,600,10.6
야생 동물,,레벨 당 체력,800,650,10.6
야생 동물,,레벨 당 방어력,1.6,3,10.6
야생 동물,,기본 방어력,15,40,10.6
코렐라인,단죄의 섬광(Q),백경 피해량,60/105/150/195/240(+스킬 증폭의 85%)(+현재 체력의 4/6/8/10/12%),60/105/150/195/240(+스킬 증폭의 80%)(+현재 체력의 4/6/8/10/12%),10.5a
코렐라인,단죄의 섬광(Q),흑경 피해량,60/105/150/195/240(+스킬 증폭의 85%)(+잃은 체력의 3/6/9/12/15%),60/105/150/195/240(+스킬 증폭의 80%)(+잃은 체력의 3/6/9/12/15%),10.5a
현우,,최대 체력,1000,960,10.5a
2레벨 인퓨전 - 수집가,,최대 중첩 수,50,30,10.5a
가넷,,기본 체력,950,1000,10.5
나타폰,슬로우 셔터(P),피해량,40/70/100(+공격 속도의 20%)(+스킬 증폭의 65%),30/60/90(+공격 속도의 20%)(+스킬 증폭의 65%),10.5
다르코,고리대금(Q),피해량,20/40/60/80/100(+공격력의 40%)(+대상 최대 체력의 1/2/3/4/5%),20/40/60/80/100(+공격력의 40%)(+대상 최대 체력의 2/3/4/5/6%),10.5
띠아,색칠놀이(E),피해량,40/90/140/190/240(+스킬 증폭의 80%),40/90/140/190/240(+스킬 증폭의 90%),10.5
라우라,날카로운 꽃(Q),피해량,50/75/100/125/150(+스킬 증폭의 55%),50/75/100/125/150(+스킬 증폭의 60%),10.5
레녹스,위풍당당(P),쿨다운,14/12/10초,15/13/11초,10.5
로지,,기본 방어력,53,50,10.5
마르티나,되감기 - 방송 중(E),체력 회복량 받은 피해의,37/41/45/49/53%,40/45/50/55/60%,10.5
마이,캣 워크(E),보호막 흡수량,60/90/120/150/180(+스킬 증폭의 40%)(+최대 체력의 6%),60/90/120/150/180(+스킬 증폭의 40%)(+최대 체력의 7%),10.5
마커스,,도끼 무기 숙련도 레벨 당 기본 공격 증폭,1.8%,1.9%,10.5
비앙카,진조의 군림(R),,1타 피해량 50/100/150(+스킬 증폭의 50%)(+대상 최대 체력의 11%),50/100/150(+스킬 증폭의 40%)(+대상 최대 체력의 11%),10.5
창 무기 숙련도 레벨 당,,공격 속도,3%,4%,10.5
창 무기 숙련도 레벨 당,,스킬 증폭,4.1%,4.4%,10.5
시셀라,어딨어 윌슨?(W),피해량,100/135/170/205/240(+스킬 증폭의 70%),100/135/170/205/240(+스킬 증폭의 80%),10.5
시셀라,모두 해방이에요.(R),패시브 효과 증가 지속 시간,6/7/8초,7/8/9초,10.5
아델라,,레이피어 무기 숙련도 레벨 당 스킬 증폭,4.7%,4.6%,10.5
아야,고정 사격(W),피해량,20/30/40/50/60(+공격력의 50%)(+스킬 증폭의 30/35/40/45/50%),30/40/50/60/70(+공격력의 50%)(+스킬 증폭의 30/35/40/45/50%),10.5
알론소,어트랙션 슬램!(E),속박 지속 시간,0.7/0.8/0.9/1/1.1초,0.8/0.9/1/1.1/1.2초,10.5
얀,니 스트라이크(Q),리핑 니 스트라이크(Q2) 피해량,65/90/115/140/165(+추가 공격력의 90%)(+스킬 증폭의 60%)(+적 최대 체력의 6%),65/90/115/140/165(+추가 공격력의 90%)(+스킬 증폭의 70%)(+적 최대 체력의 6%),10.5
에스텔,선제대응(W),이동 속도 감소,25%,30%,10.5
엘레나,겨울여왕의 영지(P),빙결 지속 시간,1초,1.1초,10.5
엘레나,더블 악셀(W),피해량,50/70/90/110/130(+스킬 증폭의 50%)(+추가 체력의 8%),50/70/90/110/130(+스킬 증폭의 50%)(+추가 체력의 10%),10.5
윌리엄,,투척 무기 숙련도 레벨 당 기본 공격 증폭,1.5%,1.4%,10.5
유스티나,부스트 대쉬(E),피해량,40/60/80/100/120(+스킬 증폭의 30%),50/75/100/125/150(+스킬 증폭의 30%),10.5
이바,위상의 소용돌이(W),,1타 피해량 40/70/100/130/160(+스킬 증폭의 45%),40/70/100/130/160(+스킬 증폭의 40%),10.5
이안,,기본 공격력,40,38,10.5
일레븐,다 덤벼보라구!(R),피해량,6/9/12(+공격력의 3%)(+추가 체력의 3%),10/15/20(+공격력의 3%)(+추가 체력의 3%),10.5
제니,레드 카펫(W),쿨다운,16초,15초,10.5
제니,시상식의 여왕(R),피해량,100/200/300(+스킬 증폭의 70%),150/240/330(+스킬 증폭의 70%),10.5
카밀로,,기본 공격력,34,31,10.5
캐시,수쳐(E),피해량,50/60/70/80/90(+스킬 증폭의 40%),50/60/70/80/90(+스킬 증폭의 45%),10.5
케네스,업화(W),받는 피해 감소,4(+공격력의 3/3.25/3.5/3.75/4%)%,2(+공격력의 3/3.25/3.5/3.75/4%)%,10.5
타지아,스틸레토(Q),스파다 폭발 피해량,40/70/100/130/160(+스킬 증폭의 50%),40/70/100/130/160(+스킬 증폭의 55%),10.5
프리야,개화의 선율(Q),피해량,80/110/140/170/200(+스킬 증폭의 70%),60/90/120/150/180(+스킬 증폭의 70%),10.5
프리야,대지의 메아리(R),쿨다운,80/70/60초,80/75/70초,10.5
피오라,,레이피어 무기 숙련도 레벨 당 스킬 증폭,4.5%,4.3%,10.5
피올로,사슬 묶기(E),최대 충전까지 걸리는 시간,1.5초,1.2초,10.5
헤이즈,웨폰 케이스(P),피해량,60/90/120(+스킬 증폭의 55%),60/90/120(+스킬 증폭의 60%),10.5
신속 - 산들바람,,쿨다운,10초,12초,10.5
응집,,쿨다운,10초,12초,10.5
암기,,빙백은침 스킬 증폭,83,85,10.5
투척,,여의주 스킬 증폭,88,90,10.5
투척,,아스트라페 스킬 증폭,92,94,10.5
투척,,파이어 볼 스킬 증폭,74,76,10.5
활,,아르기로톡소스 스킬 증폭,82,85,10.5
미스릴 크롭,옷,쿨다운 감소,10,15,10.5
불꽃 드레스,옷,방어력,40,37,10.5
비키니,옷,스킬 증폭,35,40,10.5
퀸 오브 하트,옷,스킬 증폭,35,40,10.5
커맨더 헤드셋,머리,쿨다운 감소,10,15,10.5
피해량,머리,10(+캐릭터 레벨*3),,10(+캐릭터 레벨*2),10.5
미스릴 퀴버,머리,이동 속도,3%,2%,10.5
살라딘의 화살통,머리,이동 속도,2.5%,2%,10.5
요명월,머리,최대 체력,220,200,10.5
파초선,머리,스킬 증폭,80,82,10.5
해적의 증표,머리,공격력,32,30,10.5
해적의 증표,머리,쿨다운 감소,15,20,10.5
델타 레드,머리,스킬 증폭,17,18,10.5
풍화륜,머리,스킬 증폭,24,25,10.5
SCV,머리,스킬 증폭,26,28,10.5
글레이셜 슈즈,머리,스킬 증폭,32,33,10.5
칼날 다리,머리,스킬 증폭,40,42,10.5
항구 (총 인벤토리,머리,208,,260),10.5
라이터,머리,20,,24,10.5
원석,머리,22,,24,10.5
깃털,머리,16,,18,10.5
가위,머리,16,,18,10.5
거북이 등딱지,머리,15,,16,10.5
쇠사슬,머리,5,,10,10.5
식칼,머리,5,,10,10.5
쌍칼,머리,5,,10,10.5
바람막이,머리,5,,10,10.5
전신 수영복,머리,5,,10,10.5
창고 (총 인벤토리,머리,200,,250),10.5
리본,머리,15,,16,10.5
머리띠,머리,14,,16,10.5
모자,머리,14,,16,10.5
팔찌,머리,14,,16,10.5
목장갑,머리,5,,10,10.5
망치,머리,5,,10,10.5
발터 PPK,머리,5,,10,10.5
페도로프 자동소총,머리,5,,10,10.5
슬리퍼,머리,5,,10,10.5
연못 (총 인벤토리,머리,192,,240),10.5
원석,머리,22,,23,10.5
리본,머리,16,,17,10.5
종이,머리,18,,19,10.5
대나무,머리,5,,10,10.5
양궁,머리,5,,10,10.5
석궁,머리,5,,10,10.5
전신 수영복,머리,5,,10,10.5
나막신,머리,5,,10,10.5
개울 (총 인벤토리,머리,192,,240),10.5
망치,머리,5,,10,10.5
양궁,머리,5,,10,10.5
셔츠,머리,5,,10,10.5
슬리퍼,머리,5,,10,10.5
모래사장 (총 인벤토리,머리,224,,280),10.5
원석,머리,22,,23,10.5
바람막이,머리,5,,10,10.5
야구공,머리,5,,10,10.5
쌍칼,머리,5,,10,10.5
단창,머리,5,,10,10.5
보급형 기타,머리,5,,10,10.5
전신 수영복,머리,5,,10,10.5
운동화,머리,5,,10,10.5
고급 주택가 (총 인벤토리,머리,224,,280),10.5
가위,머리,16,,18,10.5
팔찌,머리,15,,16,10.5
리본,머리,15,,17,10.5
라이터,머리,21,,23,10.5
옷감,머리,17,,18,10.5
손목시계,머리,15,,16,10.5
채찍,머리,5,,10,10.5
화승총,머리,5,,10,10.5
식칼,머리,5,,10,10.5
바늘,머리,5,,10,10.5
보급형 기타,머리,5,,10,10.5
가면,머리,5,,10,10.5
타이즈,머리,5,,10,10.5
골목길 (총 인벤토리,머리,192,,240),10.5
라이터,머리,19,,20,10.5
야구공,머리,5,,10,10.5
유리구슬,머리,5,,10,10.5
주유소 (총 인벤토리,머리,184,,230),10.5
자전거 헬멧,머리,15,,16,10.5
모자,머리,15,,16,10.5
목장갑,머리,5,,10,10.5
셔츠,머리,5,,10,10.5
호텔 (총 인벤토리,머리,232,,290),10.5
만년필,머리,14,,16,10.5
얼음,머리,10,,11,10.5
탄창,머리,5,,10,10.5
면도칼,머리,5,,10,10.5
발터 PPK,머리,5,,10,10.5
페도로프 자동소총,머리,5,,10,10.5
식칼,머리,5,,10,10.5
바늘,머리,5,,10,10.5
렌즈,머리,5,,10,10.5
경찰서 (총 인벤토리,머리,208,,260),10.5
라이터,머리,21,,23,10.5
리본,머리,16,,17,10.5
쌍안경,머리,6,,10,10.5
탄창,머리,6,,10,10.5
발터 PPK,머리,6,,10,10.5
페도로프 자동소총,머리,5,,10,10.5
화승총,머리,5,,10,10.5
쇠사슬,머리,5,,10,10.5
소방서 (총 인벤토리,머리,232,,290),10.5
만년필,머리,14,,15,10.5
목장갑,머리,5,,10,10.5
망치,머리,5,,10,10.5
화승총,머리,5,,10,10.5
손도끼,머리,5,,10,10.5
쌍칼,머리,5,,10,10.5
바늘,머리,5,,10,10.5
병원 (총 인벤토리,머리,208,,260),10.5
가위,머리,16,,17,10.5
고무,머리,15,,17,10.5
팔찌,머리,14,,16,10.5
면도칼,머리,5,,10,10.5
바늘,머리,5,,10,10.5
타이즈,머리,5,,10,10.5
절 (총 인벤토리,머리,224,,280),10.5
대나무,머리,5,,10,10.5
녹슨 검,머리,6,,10,10.5
쌍칼,머리,5,,10,10.5
단창,머리,5,,10,10.5
렌즈,머리,5,,10,10.5
유리구슬,머리,6,,10,10.5
승복,머리,6,,10,10.5
나막신,머리,6,,10,10.5
양궁장 (총 인벤토리,머리,224,,280),10.5
가위,머리,17,,19,10.5
유리병,머리,16,,18,10.5
실,머리,16,,18,10.5
쌍안경,머리,5,,10,10.5
대나무,머리,5,,10,10.5
단봉,머리,5,,10,10.5
채찍,머리,5,,10,10.5
양궁,머리,5,,10,10.5
석궁,머리,5,,10,10.5
녹슨 검,머리,5,,10,10.5
단창,머리,5,,10,10.5
승복,머리,5,,10,10.5
운동화,머리,5,,10,10.5
묘지 (총 인벤토리,머리,184,,230),10.5
단봉,머리,5,,10,10.5
